:START_ID,:END_ID,:TYPE
TC_FLOOD_ANALYSIS,PC_CHOSA,USED_IN
TC_FLOOD_ANALYSIS,PC_KEIKAKU,USED_IN
TC_HINRAN_ANALYSIS,PC_KEIKAKU,USED_IN
TC_KASEN_HEN_ANALYSIS,PC_CHOSA,USED_IN
TC_SAND_TRANSPORT,PC_CHOSA,USED_IN
TC_ANTEI_KEISAN,PC_SEKKEI,USED_IN
TC_LONGEVITY,PC_IJIKANRI,USED_IN
TC_INSPECTION_REGULAR,PC_IJIKANRI,USED_IN
TC_INSPECTION_TEMP,PC_IJIKANRI,USED_IN
TC_INSPECTION_DETAIL,PC_IJIKANRI,USED_IN
TC_HEALTH_EVAL,PC_IJIKANRI,USED_IN
TC_PREVENTIVE_MAINT,PC_IJIKANRI,USED_IN
TC_MONITORING,PC_IJIKANRI,USED_IN
TC_CYCLE_MAINT,PC_IJIKANRI,USED_IN
TC_TAISA_TAISAKU,PC_IJIKANRI,USED_IN
TC_KEIRYU_FLOW_MAST,PC_IJIKANRI,USED_IN
PC_CHOSA,PC_KEIKAKU,PRECEDES
PC_KEIKAKU,PC_SEKKEI,PRECEDES
PC_SEKKEI,PC_IJIKANRI,PRECEDES
HZ_DOSEKIRYU,FAC_SABO_DAM,AFFECTS
HZ_DOSEKIRYU,FAC_YUKODOME_SABO,AFFECTS
HZ_DOSEKIRYU,FAC_DOSEKIRYU_DORYUKO,AFFECTS
HZ_LANDSLIDE,FAC_JISUBERI_BOSHI,AFFECTS
HZ_KYUKEISHA_HOJI,FAC_KYUKEISHA_BOSHI,AFFECTS
HZ_AVALANCHE,FAC_NADARE_TAISAKU,AFFECTS
HZ_FLOOD,FAC_TEIBO,AFFECTS
HZ_FLOOD,FAC_DAM,AFFECTS
HZ_FLOOD,FAC_ZEKI,AFFECTS
